iter	Passed	Remaining
0	0	97
1	1	92
2	2	88
3	3	80
4	4	78
5	5	80
6	5	77
7	6	77
8	7	78
9	8	76
10	9	76
11	10	76
12	11	75
13	12	74
14	12	73
15	13	72
16	14	71
17	15	69
18	16	68
19	16	67
20	17	66
21	18	65
22	19	64
23	20	64
24	21	63
25	22	63
26	22	62
27	23	61
28	24	60
29	25	60
30	26	59
31	27	58
32	28	57
33	30	58
34	30	57
35	31	56
36	33	56
37	34	55
38	35	54
39	35	53
40	36	52
41	38	52
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	43	47
48	44	46
49	45	45
50	46	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	36
59	53	35
60	54	34
61	55	34
62	56	33
63	56	31
64	57	31
65	58	30
66	59	29
67	60	28
68	60	27
69	61	26
70	62	25
71	63	24
72	63	23
73	64	22
74	65	21
75	66	20
76	67	20
77	67	19
78	68	18
79	69	17
80	70	16
81	70	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	76	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	82	3
96	82	2
97	83	1
98	84	0
99	85	0
